you re in big trouble .,tu as de gros problemes .
she is no match for me .,elle n est pas de taille avec moi .
we re very serious .,nous sommes tres serieux .
i m proud of you all .,je suis fiere de vous tous .
i m sorry i don t recognize you .,je suis desolee je ne vous reconnais pas .
we re halfway home .,nous sommes a mi chemin de chez nous .
i m really flattered to hear that .,je suis tres flatte d entendre cela .
he s making progress .,il fait des progres .
i m working for a trading firm .,je travaille pour une entreprise de commerce .
he s a fine young lad .,c est un bon gars .
they re doctors .,ils sont medecins .
i m looking forward to seeing you dance .,je suis impatient de te voir danser .
i m counting on your help .,je compte sur votre aide .
you re famous .,tu es connu .
i m from the city .,je viens de la ville .
you re welcome .,je t en prie .
you re not in charge .,ce n est pas vous qui dirigez .
they re in the hot tub .,elles sont dans le baquet d eau chaude .
we re totally cool with that .,nous sommes completement cool avec ca .
i m not sure about it .,je n en suis pas sur .
you re no saint .,tu n es pas une sainte .
i m an orphan .,je suis orphelin .
he s attracted to asian women .,il est attire par les femmes asiatiques .
we re all wasting time .,nous perdons toutes du temps .
he s too old for you .,il est trop vieux pour toi .
she is more pretty than beautiful .,elle est davantage mignonne que belle .
he is suffering from loss of memory .,il souffre d amnesie .
we re finally alone .,nous sommes enfin seules .
i m thin .,je suis mince .
i m ready for my next challenge .,je suis pret pour mon prochain defi .
i m observant .,je suis observatrice .
we re not your enemy .,nous ne sommes pas tes ennemies .
you re so impatient with me .,tu es tellement impatient avec moi .
she is related to him by marriage .,elle lui est apparentee par alliance .
you are big .,vous etes grandes .
you re crafty .,tu es astucieux .
i m trying to talk to you .,j essaie de te parler .
you re skinny .,vous etes maigrichonnes .
i m so proud of you .,je suis tellement fiere de toi .
he is a handsome man .,c est un bel homme .
you re very direct .,vous etes tres direct .
i m sure everything will be fine .,je suis sur que tout ira bien .
you re always criticizing me !,tu me critiques tout le temps !
he is absorbed in the study of latin .,il est plonge dans les cours de latin .
he s shivering because of the cold .,il tremble de froid .
i m tidy .,je suis ordonnee .
he is bad at driving .,c est un mauvais conducteur .
you re sneaky .,tu es sournois .
i m very hungry .,j ai la dalle .
you are the one .,vous etes celle la .
i m afraid i ve offended you .,je crains de vous avoir offense .
i m familiar with such things .,je suis familier de ces choses .
they are russian .,elles sont russes .
i m not entirely sure .,je n en suis pas entierement sur .
i m strict .,je suis strict .
we aren t related .,nous ne sommes pas apparentees .
he is all but dead .,il est tout sauf mort .
he s an opera lover .,c est un inconditionnel de l opera .
he is influential .,il est influent .
she is very intelligent .,elle est vraiment intelligente .
i m going to miss you too .,vous allez aussi me manquer .
you aren t tom .,tu n es pas tom .
i m the killer .,je suis le tueur .
i m perfectly happy .,je suis parfaitement heureuse .
you re very efficient .,vous etes tres efficaces .
i m going to use it tomorrow .,je vais en faire usage demain .
he is an environmentalist .,c est un ecologiste .
i am going to watch tv this evening .,je vais regarder la tele ce soir .
i am not too tired .,je ne suis pas trop fatigue .
you re a great guy .,tu es un bon gars .
i m not tired .,je ne suis pas fatiguee .
i m just trying to survive .,j essaie simplement de survivre .
you re overworked .,vous etes surmene .
you re not that crazy .,tu n es pas si fou .
i m not crying .,je ne pleure pas .
i m not saying anything .,je ne dis rien .
they re right of course .,ils ont raison bien sur .
we re on the same side .,nous sommes du meme cote .
she is from france .,elle vient de france .
i m here as a tourist .,je suis ici en tant que touriste .
she is always complaining of her job .,elle se plaint toujours de son travail .
she isn t poor .,elle n est pas pauvre .
you re the one that went crazy .,c est toi qui t es emballe .
i m more interested in spoken english .,je suis plus interesse par l anglais parle .
i m playing a tv game .,je joue a un jeu sur console .
he is very careful .,il est tres soigneux .
he is dead drunk .,il est ivre mort .
i m glad i hired you .,je suis content de t avoir engage .
you re so impatient .,tu es tellement impatient .
i m willing to accept your offer .,je suis d accord d accepter votre offre .
he s looking at you .,il est en train de vous regarder .
he is employed in a bank .,il est employe de banque .
i am disappointed at the news .,je suis decu par les nouvelles .
you re forgetful .,tu es etourdi .
you are fabulous .,tu es fabuleux .
you re the pro .,c est toi le professionnel .
you re very timid .,tu es tres craintif .
you re no friend of mine .,tu n es pas de mes amis .
i m pleased with their performance .,je suis satisfait de leur prestation .
i m often compared to my brothers .,je suis souvent compare a mes freres .
he isn t coming either .,il ne vient pas non plus .
i m going to build a fire .,je vais confectionner un bucher .
we re going to be aggressive .,nous allons etre agressifs .
i m happy too .,je suis egalement heureuse .
i m very impressed .,je suis fort impressionnee .
i m a stranger here .,je suis une etrangere ici .
i m done with all of that .,j en ai fini avec tout cela .
they re mine .,ils sont a moi .
i m deeply offended by this .,je suis profondement offensee par ceci .
i m glad you liked it .,je suis heureux que tu l aies apprecie .
they re looking for you .,ils sont en train de vous chercher .
you re very good .,vous etes tres bon .
i m definitely going crazy .,je deviens sans aucun doute fou .
i m learning czech .,j apprends le tcheque .
i m going to tell you the truth .,je vais te dire la verite .
i m gaining weight .,je prends du poids .
you re not looking at the whole picture .,tu ne regardes pas tout le paysage .
you re not fired .,tu n es pas vire .
you re surrounded .,tu es cerne .
he is our teacher of english .,il est notre professeur d anglais .
i m just looking around .,je ne fais que regarder .
he is liked by everybody .,il est aime de tous .
i m happy enough .,je suis assez content .
they re crazy .,ils sont fous .
he is ahead of us in mathematics .,il est devant nous en mathematiques .
they are very big .,elles sont tres grosses .
she s starting to annoy me .,elle commence a m agacer !
i m not suggesting anything .,je ne suggere rien .
he s a cardiologist .,c est un cardiologue .
we re the same age .,nous sommes du meme age .
i m not deaf .,je ne suis pas sourd .
i m going to tell everybody .,je vais le dire a tout le monde .
we re finished already .,nous en avons deja termine .
she is kind to old people .,elle est gentille avec les personnes agees .
i m on vacation .,je suis en vacances .
i m as curious as you are .,je suis aussi curieuse que vous .
i m addicted .,j ai une assuetude .
i m a musician .,je suis musicienne .
i m pooped .,je suis creve .
you re the oldest .,c est vous le plus vieux .
we re not impressed .,nous ne sommes pas impressionnees .
i m bleeding badly .,je saigne gravement .
he is thick headed .,il est borne .
he s very understanding .,il est tres comprehensif .
you re such a liar .,quel menteur vous faites !
i m italian .,je suis italien .
i m sorry my father is out .,je suis desolee mon pere est sorti .
we re not mad .,nous ne sommes pas fous .
you re very clever .,vous etes tres ingenieuse .
we re in charge .,c est nous qui dirigeons .
i m drinking a beer .,je suis en train de boire une biere .
you re fearless .,vous etes intrepide .
he is good at playing tennis .,il joue bien au tennis .
you re sitting in my chair .,tu es assis sur ma chaise .
we re not killers .,nous ne sommes pas des tueurs .
she is a good swimmer .,elle est bonne nageuse .
i m seriously considering moving to boston .,je pense serieusement a demenager a boston .
i am glad to help you .,je suis ravie de vous aider .
she is a real beauty .,elle est une vrai beaute .
they re awake .,elles sont eveillees .
we re not serious .,nous ne sommes pas serieux .
i m sorry i lost my temper .,desole j ai perdu mon sang froid .
they re speaking french .,elles parlent en francais .
he is a good student .,c est un bon etudiant .
you re not dead yet .,vous n etes pas encore mort .
i m behind schedule .,je suis en retard sur le programme .
we re normal .,nous sommes normaux .
she s digging her own grave .,elle creuse sa propre tombe .
i m expecting a call .,j attends un coup de fil .
you re very wise .,vous etes tres sage .
i m kind of happy .,je suis assez heureux .
i m the only one who survived .,je suis la seule a avoir survecu .
you are really very good .,vous etes vraiment tres bons .
i am a university student .,je suis etudiant .
you re restless .,tu es agite .
i m going to teach you a lesson .,je vais vous donner une lecon .
i am acting for my father .,j agis pour mon pere .
i m so sorry for your loss .,je suis desole pour ta perte .
you re very stylish .,vous etes tres elegants .
you re very wise .,tu es fort avise .
you re forgetful .,tu es oublieuse .
he s a hunk .,c est un beau mec .
they are happy with the result .,ils sont contents du resultat .
i am yours and you are mine .,je suis votre et vous etes miennes .
he is at home today .,il est a la maison aujourd hui .
we re managing .,nous nous en sortons .
he s gone into hiding .,il est parti au maquis .
i m surprised to see you .,je suis surprise de vous voir .
you re a bad liar .,tu mens mal .
you re taking advantage of her weakness .,tu tires avantage de sa faiblesse .
i m going to do my best .,je vais faire de mon mieux .
he s stalling for time .,il gagne du temps .
he is an archeologist s assistant .,c est un assistant en archeologie .
you re really annoying .,vous etes vraiment embetants .
we are leaving for hawaii tonight .,nous partons pour hawai ce soir .
i m dying for a cold drink .,je creve d envie d une boisson fraiche .
you are her daughters .,vous etes ses filles .
he s never been in love before .,il n a jamais ete amoureux auparavant .
i m sorry we re completely sold out .,je suis desolee nous avons tout vendu .
i m sick of you .,j en ai marre de vous .
i m working on his car .,je travaille sur sa voiture .
i m at a friend s house .,je suis chez un ami .
you are taller than me .,vous etes plus grands que moi .
you are a troublemaker .,vous etes un fauteur de trouble .
i m starved .,j ai les crocs .
i m sad .,je suis triste .
i m not asleep .,je ne suis pas endormi .
they are reading their book .,ils lisent leur livre .
i m a farmer .,je suis un agriculteur .
i m very tired .,je suis fourbu .
you re very curious .,tu es tres curieux .
i am glad to help you .,je suis ravi de t aider .
i m from out of town .,je viens de l exterieur de la ville .
he s head over heels in love .,il est fou amoureux .
you re not fired .,vous n etes pas viree .
he is not very good at mathematics .,il n est pas tres bon en mathematiques .
you re bright .,tu es brillante .
i m good at japanese .,je parle bien japonais .
he is fed up with my problems .,il en a marre de mes problemes .
i m proud of my brother .,je suis fiere de mon frere .
you are morons .,vous etes des attardes mentaux .
you re the scapegoat .,vous etes le bouc emissaire .
they re out of their minds .,elles ont perdu l esprit .
i m breaking up with my girlfriend tonight .,je romps ce soir avec ma petite amie .
you re kind .,tu es gentil .
she is pleased with the dress .,elle est satisfaite par la robe .
you re not as smart as me .,tu n es pas aussi maligne que moi .
i m feeling kind of sleepy .,j ai un peu sommeil .
we re going .,nous y allons .
we re managing all right .,nous nous en sortons tres bien .
he is good at soccer .,il est bon au foot .
i m sorry to have bothered you .,je suis desolee de t avoir derange !
you re very understanding .,tu es tres comprehensif .
i m happy for you both .,je suis heureuse pour vous deux .
you re not that old .,tu n es pas si vieux .
he is very sensitive to criticism .,il est tres sensible a la critique .
i m a long way from home .,je suis loin de chez moi .
you re the master .,tu es le maitre .
i am yours and you are mine .,je suis tien et tu es mien .
i am the same age .,j ai le meme age .
i m sure we can work this out .,je suis sure que nous pouvons arranger cela .
he s kind of cute .,il est mignon dans son genre .
i m still here .,je suis encore ici .
they are disappointed in their son .,ils sont decus par leur fils .
you re the teacher .,c est toi l institutrice .
we re all devastated .,nous sommes tous aneantis .
you re finished already .,vous en avez deja fini .
i am off duty tomorrow .,je suis libre demain .
you re not fat .,tu n es pas gros .
we re all going home .,nous allons tous a la maison .
i m suddenly tired .,je suis tout a coup fatiguee .
you re the oldest .,vous etes l ainee .
they are great friends .,elles sont de grandes amies .
she s been sick since last wednesday .,elle est malade depuis mercredi dernier .
he s innocent .,il est ingenu .
we re meant for each other .,nous sommes destines l un a l autre .
you re lazy .,vous etes paresseuses .
you re too trusting .,vous etes trop confiantes .
i m not one of them .,je ne fais pas partie du serail .
i m sorry i hurt you .,je suis desole de vous avoir blessees .
he is by no means bright .,il n est pas du tout brillant .
i am a bit drunk .,je suis un peu ivre .
she is engaged to a rich man .,elle est fiancee a un homme riche .
i am fixing the washing machine .,je repare le lave linge .
we re tempting fate .,nous tentons le diable .
i m very disappointed in you .,vous me decevez beaucoup .
they are all alike .,ils sont tous semblables .
they re going to the war .,elles vont a la guerre .
he is acquainted with the mayor .,il connait le maire .
he is not honest at all .,il n est pas honnete du tout .
we re afraid we ll miss our train .,nous craignons de manquer notre train .
i m trying to save tom s life .,j essaye de sauver la vie de tom .
he s a cardiologist .,il est cardiologue .
you re impressed aren t you ?,tu es impressionnee pas vrai ?
i m finished with you .,j en ai fini avec vous .
you re very clever .,tu es fort habile .
you re conceited .,tu es suffisant .
we re really married .,nous sommes vraiment maries .
i m ready to go .,je suis pret pour partir .
she is just a wallflower .,elle est juste decorative .
he is madly in love with that girl .,il est follement amoureux de cette fille .
i m not gambling anymore .,je ne joue plus aux jeux de hasard .
she s heating the water .,elle fait rechauffer l eau .
you re very forward .,vous etes fort effrontes .
i m happy to be back .,je suis heureuse d etre revenue .
you re always saying that .,tu dis toujours cela .
i m starting to feel desperate .,je commence a me sentir desespere .
he s young and single .,il est jeune et celibataire .
he s a construction worker .,il est employe dans le batiment .
i am not happy .,je ne suis pas heureuse .
you are a genius .,tu es un genie .
i m by your side .,je suis de votre cote .
we re not used to it .,nous n y sommes pas habitues .
i m as shocked as you are .,je suis aussi choque que toi .
you re doing it right .,tu le fais comme il faut .
you are blinded by love .,tu es aveugle par l amour .
he is proud of his father being rich .,il est fier que son pere soit riche .
we re all students .,nous sommes tous etudiants .
you re just like your mother .,tu es exactement comme ta mere .
you re the teacher .,vous etes l enseignante .
we re going the wrong way .,nous allons dans la mauvaise direction .
we re not terrorists .,nous ne sommes pas des terroristes .
she is not only intelligent but beautiful .,elle est non seulement intelligente mais aussi jolie .
i m afraid i have internal bleeding .,j ai peur d avoir une hemorragie interne .
she isn t afraid of death .,elle n a pas peur de la mort .
he is as tall as his father .,il est aussi grand que son pere .
i m getting sleepy again .,je commence a avoir a nouveau sommeil .
she s older than him .,elle est plus vieille que lui .
i am playing the piano now .,je suis en train de jouer du piano .
i am hanging up my shirts .,je pends mes chemises .
i m sorry to have bothered you .,je suis desole de vous avoir derange !
he is a detective .,il est detective .
they re giving away samples free .,ils distribuent des echantillons gratuits .
i m not leaving .,je ne m en vais pas .
i m not a magician .,je ne suis pas magicien .
we re just having a good time .,nous passons seulement un bon moment .
you re very good .,tu es tres bonne .
you are morons .,vous etes des idiots .
he is running .,il court .
i m hungry !,j ai faim !
they re all gone .,ils ont tous disparu .
you re very astute .,tu es fort astucieuse .
you re resilient .,vous etes endurants .
i m not good at this .,je ne suis pas bon la dedans .
i m really glad you re here .,je me rejouis vraiment que tu sois la .
you are early .,tu viens tot .
i m smarter than you .,je suis plus astucieux que toi .
you re silly .,vous etes idiot .
you re safe now .,vous etes desormais en securite .
i m really starting to get worried .,je commence vraiment a m inquieter .
you re disappointed aren t you ?,vous etes decus n est ce pas ?
i am willing to help you .,je suis desireux de t aider .
we re jealous .,nous sommes jalouses .
you are the one .,vous etes celui la .
you re all happy .,vous etes tous contents .
i m here to help you .,je suis la pour t aider .
we re still a team .,nous sommes encore une equipe .
he is a fast runner .,c est un coureur rapide .
you re the oldest .,c est toi le doyen .
i m still waiting for my order .,j attends toujours pour ma commande .
i m glad to see you here .,je suis content de vous voir ici .
i m thirty years older than you .,j ai trente ans de plus que vous .
you are too young to travel alone .,tu es trop jeune pour voyager seul .
i m very upset .,je suis fort contrarie .
you are important .,vous etes importante .
i m sure tom is suffering .,je suis certaine que tom souffre .
we re all safe .,nous sommes toutes en securite .
we are very similar .,nous sommes tres semblables .
you re not normal .,vous n etes pas normales .
we re all after the same thing .,nous sommes tous apres la meme chose .
i m worried about my weight .,mon poids me preoccupe .
you re the teacher .,c est toi le prof .
she is used to cooking .,elle a l habitude de faire la cuisine .
we re ruined .,nous sommes ruines .
he s a bit of a drunkard .,il est un peu alcoolique .
he is walking towards the station .,il marche en direction de la gare .
he is inclined to be lazy .,il tend a etre paresseux .
we re not finished .,nous n en avons pas fini .
she is a very kind girl .,c est une gentille fille .
i m done with you .,j en ai fini avec toi .
i m an agent .,je suis un agent .
we re a good team .,nous sommes une bonne equipe .
you re blushing .,tu rougis !
i am ready to follow you .,je suis prete a te suivre .
you re all hypocritical .,vous etes tous hypocrites .
we are facing a violent crisis .,nous faisons face a une crise violente .
we re contented .,nous sommes satisfaits .
i m very much aware of the danger .,je suis tres conscient du danger .
she s the breadwinner in this family .,c est elle le soutien de famille .
he is playing outdoors .,il joue dehors .
i m leaving town for a few days .,je quitte la ville pour quelques jours .
i am now in an old castle .,je suis a present dans un vieux chateau .
i m not a child .,je ne suis pas un enfant .
they are very kind .,elles sont tres bienveillantes .
you re stalling .,vous temporisez .
we re all in agreement .,nous sommes toutes d accord .
she is a good swimmer .,c est une bonne nageuse .
he is a highly paid man .,c est un homme tres bien paye .
i m concerned about it .,cela me preoccupe .
i m feeling hungry .,j ai faim .
i m sorry for the late response .,je suis desole de la reponse tardive .
we re not guilty .,nous ne sommes pas coupables .
we are liable for the damage .,nous sommes responsables en cas de degats .
i m just kidding .,je rigole .
i m glad you re coming .,je suis heureuse que tu viennes .
i m feeling pretty confident .,je me sens assez confiant .
you re articulate .,tu t exprimes bien .
she is a student .,elle est etudiante .
she is a good writer .,elle est bon ecrivain .
i m still not satisfied .,je ne suis toujours pas satisfait .
she s at the hotel now .,elle est maintenant a l hotel .
they re going to try .,ils vont essayer .
we re not sure yet .,nous n en sommes pas encore surs .
you re not helping much .,tu n aides pas beaucoup .
he s kind of cute isn t he ?,il est mignon dans son genre non ?
you re never too old to learn .,personne n est trop vieux pour apprendre .
we re worried .,nous nous faisons du souci .
we re concerned for your safety .,nous nous faisons du souci pour votre securite .
she is late .,elle est en retard .
i m sorry i hurt you .,je suis desolee de vous avoir blessee .
i m not insane .,je ne suis pas fou .
she is in bed with a cold .,elle est au lit enrhumee .
he is heroic .,il est heroique .
we re slowing down .,nous sommes en train de ralentir .
she s hot .,elle est tres attirante .
you re the one who trained me .,vous etes celle qui m a entrainee .
you re safe .,vous etes sauves .
we re late because of you .,nous sommes en retard a cause de toi .
i m truly sorry .,je suis sincerement desole .
you re nice .,t es sympa .
i m not too worried about tom .,je ne m inquiete pas trop pour tom .
you are early .,tu es matinale .
i m beginning to get curious .,je commence a devenir curieux .
i m thinking .,je reflechis .
you re the only canadian i know .,tu es le seul canadien que je connaisse .
i m astonished .,je suis stupefaite .
i m out of practice .,je manque de pratique .
i m alone .,je suis seul .
i m starving !,je meurs de faim !
he isn t alone anymore .,il n est plus seul .
we re looking forward to your being here .,nous nous rejouissons de votre presence .
you are taller than she is .,vous etes plus grandes qu elle .
he is a physicist .,c est un physicien .
i m not as happy now .,je suis moins heureux maintenant .
they are all my personal belongings .,ce sont toutes mes affaires personnelles .
they are the ones who want to go .,ce sont celles qui veulent partir .
i m waiting for my friend .,j attends mon amie .
we re perfectly safe .,nous sommes parfaitement en securite .
you re invited .,vous etes invite .
she s awesome .,elle est super .
he s skilled at videogames .,il est doue aux jeux video .
i m going to do some shopping .,je veux aller faire des courses .
we re canadians .,nous sommes canadiennes .
i m proud of my school .,je suis fier de mon ecole .
you re not my friend anymore .,vous n etes plus mon ami .
we re not going .,nous n y allons pas .
you re twisting my words .,vous deformez mes paroles .
i am thinking of going to the mountains .,je pense partir a la montagne .
he s not at home .,il n est pas chez lui .
i m a little dizzy .,j ai un peu la tete qui tourne .
you re the love of my life .,tu es l amour de ma vie .
i m very disappointed in you .,tu me decois vraiment .
we re always right .,nous avons toujours raison .
he is lost in thought .,il est perdu dans ses pensees .
we re a group .,nous formons un groupe .
i m in the bathtub .,je suis dans la baignoire .
i m ready .,je suis pret .
you re nuts !,t es dingue !
you re alone aren t you ?,vous etes seules n est ce pas ?
you re blocking my light .,vous me faites de l ombre .
you re going to love this book .,vous adorerez ce livre .
i m kind of busy right now tom .,je suis assez occupe tom .
he is something of a musician .,c est un sacre musicien .
he is an aggressive person .,c est une personne agressive .
i m going to see tom .,je vais voir tom .
you re fascinating .,vous etes fascinantes .
we re really late .,nous sommes tres en retard .
he is unpopular for some reason .,il est impopulaire pour une raison quelconque .
i m not following you .,je ne te suis pas .
she is first in line .,elle est au premier rang .
you re so sweet .,vous etes si gentilles !
you re the only one for me now .,vous etes le seul desormais pour moi .
you re skinny .,tu es maigrichonne .
we re undressing .,nous sommes en train de nous deshabiller .
you re naive .,vous etes naif .
he is more clever than i am .,il est plus intelligent que moi .
you re very sophisticated .,tu es fort raffinee .
i m so sorry .,je suis tellement desole !
i m canadian too .,je suis canadien moi aussi .
he is completely absorbed in his business .,il est completement absorbe par ses affaires .
i am so sorry .,je suis tellement desole !
i m not drinking tonight .,je ne bois pas ce soir .
he is going to the concert .,il se rend au concert .
i m an american citizen .,je suis une citoyenne americaine .
he is an unsung hero .,c est un heros inconnu .
we re not that close .,nous ne sommes pas si proches .
he is above doing such a thing .,il est au dessus d un tel acte .
he is watching tv .,il regarde la television .
i m looking for my camera .,je cherche mon appareil photo .
i m sorry to have bothered you .,je suis desole de t avoir derange !
i m not on anybody s side .,je ne suis dans le camp de personne .
we re in a recession .,nous sommes en recession .
i m in the same boat .,je suis dans la meme galere .
we are all convinced of his innocence .,nous sommes tous convaincus de son innocence .
he is generous to his friends .,il est genereux envers ses amis .
she is a really good girl .,c est vraiment une bonne fille .
he is not at all a gentleman .,ce n est pas du tout un gentleman .
he s three years older than i am .,il a trois ans de plus que moi .
they re not following .,elles ne sont pas en train de suivre .
they re waiting for you .,elles t attendent .
she is very beautiful .,elle est tres belle .
i m from tokyo japan .,je viens de tokyo japon .
you re quite attractive .,vous etes tout a fait attirante .
you aren t invited .,vous n etes pas invitee .
he is popular with everybody .,il est populaire aupres de tout le monde .
he is a bad person .,c est une mauvaise personne .
he is a good singer .,c est un bon chanteur .
he is a man of his word .,c est un homme de parole .
he is in business .,il est dans les affaires .
he is a wolf in sheep s clothing .,le garcon est un loup deguise en mouton .
you re a teacher right ?,tu es enseignant n est ce pas ?
you re the girl of my dreams .,tu es la fille de mes reves .
he s english .,il est anglais .
i m awfully tired .,je suis terriblement fatigue .
i m happy with what i ve got .,je suis heureux avec ce que je possede .
we re tempting fate .,nous tentons notre chance .
you re the one who trained me .,c est toi qui m as entrainee .
i m very sad .,je suis tres triste .
i m not lying .,je ne suis pas en train de mentir .
i m not going to allow that .,je ne vais pas autoriser ca .
i m tired of boston .,je suis las de boston .
you re not allowed in here .,tu n es pas autorisee a penetrer ici .
i am anxious about your health .,je suis inquiet pour ta sante .
he is in the kitchen .,il est dans la cuisine .
i am free this afternoon .,je suis libre cet apres midi .
you re disloyal .,tu es deloyale .
she s very upset .,elle est tres fachee .
we re fixing it .,nous sommes en train de le reparer .
you re not easy to find .,tu n es pas facile a trouver .
i m glad you liked it .,je suis heureuse que tu l aies apprecie .
i m unenthusiastic .,je suis sans enthousiasme .
he s a notorious liar .,c est un menteur notoire .
i am eating noodles .,je mange des nouilles .
i m late .,je suis en retard .
i m bringing home a pizza .,je ramene une pizza a la maison .
